angry0,angry1,box0,box1,disgust0,disgust1,fear0,fear1,happy0,happy1,neutral0,neutral1,sad0,sad1,surprise0,surprise1
0.75,,"[439, 224, 183, 226]",,0.0,,0.02,,0.01,,0.07,,0.16,,0.0,
0.58,,"[435, 229, 183, 234]",,0.01,,0.05,,0.03,,0.13,,0.21,,0.0,
0.59,,"[435, 229, 183, 234]",,0.01,,0.04,,0.03,,0.13,,0.2,,0.0,
0.74,,"[435, 233, 182, 235]",,0.0,,0.05,,0.03,,0.05,,0.12,,0.01,
0.59,,"[424, 238, 186, 234]",,0.0,,0.06,,0.03,,0.13,,0.19,,0.0,
0.68,,"[427, 244, 178, 224]",,0.01,,0.04,,0.01,,0.1,,0.16,,0.0,
0.8,,"[425, 246, 179, 227]",,0.01,,0.04,,0.0,,0.06,,0.09,,0.0,
0.78,,"[426, 246, 178, 227]",,0.01,,0.04,,0.0,,0.07,,0.1,,0.0,
0.71,,"[423, 245, 178, 226]",,0.01,,0.05,,0.01,,0.11,,0.11,,0.0,
0.73,,"[423, 242, 180, 219]",,0.0,,0.06,,0.0,,0.07,,0.13,,0.0,
0.74,,"[421, 243, 182, 218]",,0.01,,0.05,,0.01,,0.07,,0.13,,0.0,
0.74,,"[421, 244, 181, 220]",,0.0,,0.06,,0.01,,0.08,,0.12,,0.0,
0.64,,"[421, 243, 182, 221]",,0.0,,0.07,,0.01,,0.11,,0.16,,0.0,
0.75,,"[420, 244, 181, 224]",,0.0,,0.06,,0.01,,0.09,,0.07,,0.01,
0.6,,"[413, 234, 188, 243]",,0.0,,0.1,,0.01,,0.11,,0.16,,0.02,
0.69,,"[416, 236, 180, 231]",,0.0,,0.08,,0.0,,0.12,,0.11,,0.0,
0.55,,"[411, 227, 188, 236]",,0.0,,0.11,,0.01,,0.17,,0.15,,0.0,
0.61,,"[418, 230, 186, 232]",,0.0,,0.07,,0.0,,0.15,,0.16,,0.0,
0.58,,"[412, 216, 191, 246]",,0.0,,0.1,,0.01,,0.16,,0.14,,0.02,
0.78,,"[404, 204, 192, 254]",,0.0,,0.03,,0.01,,0.05,,0.1,,0.03,
0.72,,"[415, 205, 193, 252]",,0.0,,0.04,,0.01,,0.03,,0.09,,0.11,
0.78,,"[404, 208, 191, 254]",,0.0,,0.04,,0.0,,0.06,,0.09,,0.04,
0.82,,"[404, 209, 191, 253]",,0.0,,0.04,,0.0,,0.04,,0.07,,0.03,
0.81,,"[407, 214, 192, 249]",,0.0,,0.05,,0.01,,0.04,,0.07,,0.01,
0.58,,"[420, 232, 182, 222]",,0.0,,0.02,,0.03,,0.22,,0.15,,0.0,
0.63,,"[420, 233, 181, 224]",,0.0,,0.03,,0.02,,0.16,,0.15,,0.0,
0.79,,"[416, 231, 183, 239]",,0.0,,0.04,,0.01,,0.06,,0.1,,0.0,
0.83,,"[417, 231, 182, 238]",,0.0,,0.03,,0.01,,0.05,,0.07,,0.0,
0.78,,"[416, 231, 186, 239]",,0.0,,0.04,,0.01,,0.06,,0.11,,0.0,
0.71,,"[422, 233, 186, 232]",,0.01,,0.04,,0.02,,0.07,,0.16,,0.0,
0.84,,"[426, 239, 181, 232]",,0.01,,0.02,,0.01,,0.03,,0.08,,0.01,
0.83,,"[441, 251, 170, 209]",,0.01,,0.04,,0.0,,0.02,,0.1,,0.0,
0.52,,"[438, 233, 186, 229]",,0.0,,0.06,,0.01,,0.12,,0.27,,0.0,
0.68,,"[432, 168, 205, 270]",,0.0,,0.07,,0.09,,0.04,,0.11,,0.02,
0.84,,"[439, 139, 197, 271]",,0.0,,0.02,,0.02,,0.02,,0.04,,0.06,
0.84,,"[431, 132, 207, 278]",,0.0,,0.01,,0.02,,0.01,,0.03,,0.08,
0.81,,"[436, 147, 197, 274]",,0.0,,0.02,,0.02,,0.03,,0.05,,0.07,
